s_tabl_figu_id;s_sam_row;s_sam_col;valu
tabl_01_01  ;REU         ;GDPRvalu    ; -0.03239086
tabl_01_01  ;REU         ;PRODvalu    ; -0.06053129
tabl_01_01  ;REU         ;VAADvalu    ; -0.03422696
tabl_01_01  ;REU         ;CONFvalu    ; -0.08364896
tabl_01_01  ;REU         ;INCGvalu    ;  0.27496707
tabl_01_01  ;REU         ;IMPOvalu    ; -0.00032482
tabl_01_01  ;REU         ;EXPOvalu    ; -0.00031818
tabl_01_01  ;REU         ;INVTvalu    ;  0.25706632
tabl_01_01  ;REU         ;UNEMppts    ;  0.05221667
tabl_01_01  ;REU         ;CPINinde    ;  0.04647801
tabl_02_01  ;aagri       ;PRODquan    ; -0.02129431
tabl_02_01  ;afood       ;PRODquan    ; -0.06001462
tabl_02_01  ;aoind       ;PRODquan    ; -0.06187344
tabl_02_01  ;aelhy       ;PRODquan    ; -0.53627284
tabl_02_01  ;aelbi       ;PRODquan    ; -0.79368880
tabl_02_01  ;aelpe       ;PRODquan    ; -0.58386895
tabl_02_01  ;awasa       ;PRODquan    ; -1.69230299
tabl_02_01  ;acons       ;PRODquan    ;  0.14658244
tabl_02_01  ;atran       ;PRODquan    ; -0.05397996
tabl_02_01  ;aadmi       ;PRODquan    ; -0.02273956
tabl_02_01  ;asefi       ;PRODquan    ; -0.01337018
tabl_02_01  ;asenf       ;PRODquan    ; -0.03689398
tabl_02_02  ;cagri       ;CONFquan    ; -0.02458032
tabl_02_02  ;cagri       ;IMPOquan    ; -0.07608428
tabl_02_02  ;cagri       ;EXPOquan    ;  0.01224031
tabl_02_02  ;cfood       ;CONFquan    ; -0.05593846
tabl_02_02  ;cfood       ;IMPOquan    ; -0.04319902
tabl_02_02  ;cfood       ;EXPOquan    ; -0.03858699
tabl_02_02  ;cpetr       ;CONFquan    ; -0.05293692
tabl_02_02  ;cpetr       ;IMPOquan    ; -0.07006306
tabl_02_02  ;coind       ;CONFquan    ; -0.05856119
tabl_02_02  ;coind       ;IMPOquan    ;  0.02217352
tabl_02_02  ;coind       ;EXPOquan    ; -0.06081883
tabl_02_02  ;celec       ;CONFquan    ; -0.10633747
tabl_02_02  ;celec       ;IMPOquan    ; -0.33183450
tabl_02_02  ;cwadi       ;CONFquan    ; -4.01828456
tabl_02_02  ;cwadi       ;IMPOquan    ; -4.84299283
tabl_02_02  ;csaco       ;CONFquan    ; -0.20483877
tabl_02_02  ;csaco       ;IMPOquan    ; -0.04343821
tabl_02_02  ;csanc       ;CONFquan    ; -0.27585552
tabl_02_02  ;csanc       ;IMPOquan    ;  0.36765768
tabl_02_02  ;ccons       ;CONFquan    ; -0.10113862
tabl_02_02  ;ccons       ;EXPOquan    ;  0.00535043
tabl_02_02  ;ctran       ;CONFquan    ; -0.05239697
tabl_02_02  ;ctran       ;IMPOquan    ; -0.04811700
tabl_02_02  ;ctran       ;EXPOquan    ; -0.02998444
tabl_02_02  ;cadmi       ;CONFquan    ; -0.05584797
tabl_02_02  ;cadmi       ;EXPOquan    ; -0.01697260
tabl_02_02  ;csefi       ;CONFquan    ; -0.01730884
tabl_02_02  ;csefi       ;IMPOquan    ; -0.11913750
tabl_02_02  ;csefi       ;EXPOquan    ;  0.04227376
tabl_02_02  ;csenf       ;CONFquan    ; -0.04171876
tabl_02_02  ;csenf       ;IMPOquan    ; -0.06679346
tabl_02_02  ;csenf       ;EXPOquan    ; -0.00550524
tabl_03_01  ;REU         ;CPINppts    ;  0.04647801
tabl_03_01  ;cagri       ;PCONpric    ; -0.02060898
tabl_03_01  ;cfood       ;PCONpric    ;  0.00432362
tabl_03_01  ;cpetr       ;PCONpric    ;  0.00000000
tabl_03_01  ;coind       ;PCONpric    ;  0.00810190
tabl_03_01  ;celec       ;PCONpric    ;  0.07697773
tabl_03_01  ;cwadi       ;PCONpric    ;  6.05771309
tabl_03_01  ;csaco       ;PCONpric    ;  0.21928025
tabl_03_01  ;csanc       ;PCONpric    ;  0.32212781
tabl_03_01  ;ccons       ;PCONpric    ;  0.06947830
tabl_03_01  ;ctran       ;PCONpric    ;  0.00281629
tabl_03_01  ;cadmi       ;PCONpric    ;  0.00802440
tabl_03_01  ;csefi       ;PCONpric    ; -0.05010658
tabl_03_01  ;csenf       ;PCONpric    ; -0.01329542
tabl_03_02  ;REU         ;WRLApric    ;  0.02039498
tabl_03_02  ;aagri       ;RRCApric    ; -0.08809609
tabl_03_02  ;aagri       ;RRGWpric    ; -0.26783738
tabl_03_02  ;aagri       ;RRSWpric    ; -0.26783738
tabl_03_02  ;afood       ;RRCApric    ; -0.08660008
tabl_03_02  ;afood       ;RRGWpric    ; -0.58097595
tabl_03_02  ;aoind       ;RRCApric    ; -0.10503563
tabl_03_02  ;aoind       ;RRGWpric    ; -0.60469712
tabl_03_02  ;aelhy       ;RRCApric    ; -1.27756041
tabl_03_02  ;aelbi       ;RRCApric    ; -1.59676377
tabl_03_02  ;aelpe       ;RRCApric    ; -1.32490614
tabl_03_02  ;aelpe       ;RRSWpric    ; -5.90337420
tabl_03_02  ;awasa       ;RRCApric    ; -3.83159773
tabl_03_02  ;awasa       ;RRGWpric    ;-16.75593304
tabl_03_02  ;awasa       ;RRSWpric    ;-16.75593304
tabl_03_02  ;acons       ;RRCApric    ;  0.33883493
tabl_03_02  ;atran       ;RRCApric    ; -0.07884192
tabl_03_02  ;aadmi       ;RRCApric    ; -0.01965085
tabl_03_02  ;asefi       ;RRCApric    ; -0.07381602
tabl_03_02  ;asenf       ;RRCApric    ; -0.05860310
tabl_04_01  ;REU         ;GOINvalu    ;  0.27496707
tabl_04_01  ;REU         ;GINKvalu    ; -3.40046916
tabl_04_01  ;REU         ;TPROvalu    ; -0.02416048
tabl_04_01  ;REU         ;TCOMvalu    ;  2.51388803
tabl_04_01  ;REU         ;TIMPvalu    ;  0.00260496
tabl_04_01  ;REU         ;GTRAvalu    ; -0.03720983
tabl_04_02  ;REU         ;HHINvalu    ; -0.03720983
tabl_04_02  ;REU         ;HICAvalu    ; -0.07490859
tabl_04_02  ;REU         ;HILAvalu    ; -0.04488917
tabl_04_02  ;REU         ;HITRvalu    ;  0.04647801
tabl_04_02  ;REU         ;HIDPvalu    ; -0.03720983
tabl_04_02  ;REU         ;HCOBvalu    ; -0.03720983
tabl_04_02  ;REU         ;HSAVvalu    ; -0.03720983
tabl_05_01  ;cwadi       ;WATEprod    ; -3.04496363
tabl_05_01  ;cwadi       ;WATEdito    ; -0.65855643
tabl_05_01  ;cwadi       ;WATEcons    ; -4.01828456
tabl_05_01  ;cwadi       ;WATEpric    ;  6.05771309
tabl_05_01  ;csaco       ;WATEprod    ; -0.56241381
tabl_05_01  ;csaco       ;WATEcons    ; -0.20483877
tabl_05_01  ;csaco       ;WATEpric    ;  0.21928025
tabl_05_01  ;csanc       ;WATEprod    ; -0.42579834
tabl_05_01  ;csanc       ;WATEcons    ; -0.27585552
tabl_05_01  ;csanc       ;WATEpric    ;  0.32212781
tabl_05_02  ;aelhy       ;ENERprod    ; -0.53166484
tabl_05_02  ;aelbi       ;ENERprod    ; -0.78910123
tabl_05_02  ;aelpe       ;ENERprod    ; -0.57926782
tabl_05_02  ;celec       ;ENERprod    ; -0.58720096
tabl_05_02  ;celec       ;ENERdito    ; -0.66447145
tabl_05_02  ;celec       ;ENERcons    ; -0.10618505
tabl_05_02  ;celec       ;ENERpric    ;  0.07697773
tabl_05_03  ;cagri       ;FOODprod    ; -0.02459530
tabl_05_03  ;cagri       ;FOODdito    ; -0.05248989
tabl_05_03  ;cagri       ;FOODcons    ; -0.02458032
tabl_05_03  ;cagri       ;FOODpric    ; -0.02060898
tabl_05_03  ;cfood       ;FOODprod    ; -0.05731987
tabl_05_03  ;cfood       ;FOODdito    ; -0.04635381
tabl_05_03  ;cfood       ;FOODcons    ; -0.05593846
tabl_05_03  ;cfood       ;FOODpric    ;  0.00432362
tabl_05_04  ;REU         ;ECOSnitr    ; -0.45652015
tabl_05_04  ;REU         ;ECOSphos    ; -0.42538841
tabl_05_04  ;REU         ;ECOSnagr    ; -0.02459530
tabl_05_04  ;cpetr       ;ECOSco2e    ; -0.06373634
tabl_05_04  ;celec       ;ECOSco2e    ; -0.57926782
tabl_06_01  ;REU         ;CONSpwat    ; -4.01828456
tabl_06_01  ;REU         ;CONSothe    ; -0.04404047
tabl_06_01  ;REU         ;PRICpwat    ;  6.05771309
tabl_06_01  ;REU         ;PRICothe    ; -0.00860206
tabl_06_01  ;REU         ;INCOhous    ; -0.03720983
tabl_06_01  ;REU         ;PRICelec    ;  0.07697773
figu_01_01  ;NA          ;GDPRvalu    ; -0.03239086
figu_01_01  ;NA          ;PRODvalu    ; -0.06053129
figu_01_01  ;NA          ;VAADvalu    ; -0.03422696
figu_01_01  ;NA          ;CONFvalu    ; -0.08364896
figu_01_01  ;NA          ;INCGvalu    ;  0.27496707
figu_01_01  ;NA          ;IMPOvalu    ; -0.00032482
figu_01_01  ;NA          ;EXPOvalu    ; -0.00031818
figu_01_01  ;NA          ;INVTvalu    ;  0.25706632
figu_01_01  ;NA          ;UNEMppts    ;  0.05221667
figu_01_01  ;NA          ;CPINinde    ;  0.04647801
figu_02_01  ;NA          ;aagri       ; -0.02129431
figu_02_01  ;NA          ;afood       ; -0.06001462
figu_02_01  ;NA          ;aoind       ; -0.06187344
figu_02_01  ;NA          ;aelhy       ; -0.53627284
figu_02_01  ;NA          ;aelbi       ; -0.79368880
figu_02_01  ;NA          ;aelpe       ; -0.58386895
figu_02_01  ;NA          ;awasa       ; -1.69230299
figu_02_01  ;NA          ;acons       ;  0.14658244
figu_02_01  ;NA          ;atran       ; -0.05397996
figu_02_01  ;NA          ;aadmi       ; -0.02273956
figu_02_01  ;NA          ;asefi       ; -0.01337018
figu_02_01  ;NA          ;asenf       ; -0.03689398
figu_02_02  ;NA          ;cagri       ; -0.02458032
figu_02_02  ;NA          ;cfood       ; -0.05593846
figu_02_02  ;NA          ;cpetr       ; -0.05293692
figu_02_02  ;NA          ;coind       ; -0.05856119
figu_02_02  ;NA          ;celec       ; -0.10633747
figu_02_02  ;NA          ;cwadi       ; -4.01828456
figu_02_02  ;NA          ;csaco       ; -0.20483877
figu_02_02  ;NA          ;csanc       ; -0.27585552
figu_02_02  ;NA          ;ccons       ; -0.10113862
figu_02_02  ;NA          ;ctran       ; -0.05239697
figu_02_02  ;NA          ;cadmi       ; -0.05584797
figu_02_02  ;NA          ;csefi       ; -0.01730884
figu_02_02  ;NA          ;csenf       ; -0.04171876
figu_02_03  ;NA          ;cagri       ; -0.07608428
figu_02_03  ;NA          ;cfood       ; -0.04319902
figu_02_03  ;NA          ;cpetr       ; -0.07006306
figu_02_03  ;NA          ;coind       ;  0.02217352
figu_02_03  ;NA          ;celec       ; -0.33183450
figu_02_03  ;NA          ;cwadi       ; -4.84299283
figu_02_03  ;NA          ;csaco       ; -0.04343821
figu_02_03  ;NA          ;csanc       ;  0.36765768
figu_02_03  ;NA          ;ctran       ; -0.04811700
figu_02_03  ;NA          ;csefi       ; -0.11913750
figu_02_03  ;NA          ;csenf       ; -0.06679346
figu_02_04  ;NA          ;cagri       ;  0.01224031
figu_02_04  ;NA          ;cfood       ; -0.03858699
figu_02_04  ;NA          ;coind       ; -0.06081883
figu_02_04  ;NA          ;ccons       ;  0.00535043
figu_02_04  ;NA          ;ctran       ; -0.02998444
figu_02_04  ;NA          ;cadmi       ; -0.01697260
figu_02_04  ;NA          ;csefi       ;  0.04227376
figu_02_04  ;NA          ;csenf       ; -0.00550524
figu_03_01  ;NA          ;cagri       ; -0.02060898
figu_03_01  ;NA          ;cfood       ;  0.00432362
figu_03_01  ;NA          ;cpetr       ;  0.00000000
figu_03_01  ;NA          ;coind       ;  0.00810190
figu_03_01  ;NA          ;celec       ;  0.07697773
figu_03_01  ;NA          ;cwadi       ;  6.05771309
figu_03_01  ;NA          ;csaco       ;  0.21928025
figu_03_01  ;NA          ;csanc       ;  0.32212781
figu_03_01  ;NA          ;ccons       ;  0.06947830
figu_03_01  ;NA          ;ctran       ;  0.00281629
figu_03_01  ;NA          ;cadmi       ;  0.00802440
figu_03_01  ;NA          ;csefi       ; -0.05010658
figu_03_01  ;NA          ;csenf       ; -0.01329542
figu_03_01  ;NA          ;CPINppts    ;  0.04647801
figu_03_02  ;NA          ;aagri       ; -0.08809609
figu_03_02  ;NA          ;afood       ; -0.08660008
figu_03_02  ;NA          ;aoind       ; -0.10503563
figu_03_02  ;NA          ;aelhy       ; -1.27756041
figu_03_02  ;NA          ;aelbi       ; -1.59676377
figu_03_02  ;NA          ;aelpe       ; -1.32490614
figu_03_02  ;NA          ;awasa       ; -3.83159773
figu_03_02  ;NA          ;acons       ;  0.33883493
figu_03_02  ;NA          ;atran       ; -0.07884192
figu_03_02  ;NA          ;aadmi       ; -0.01965085
figu_03_02  ;NA          ;asefi       ; -0.07381602
figu_03_02  ;NA          ;asenf       ; -0.05860310
figu_03_02  ;NA          ;WRLApric    ;  0.02039498
figu_03_03  ;NA          ;aagri       ; -0.26783738
figu_03_03  ;NA          ;afood       ; -0.58097595
figu_03_03  ;NA          ;aoind       ; -0.60469712
figu_03_03  ;NA          ;awasa       ;-16.75593304
figu_03_04  ;NA          ;aagri       ; -0.26783738
figu_03_04  ;NA          ;aelpe       ; -5.90337420
figu_03_04  ;NA          ;awasa       ;-16.75593304
figu_04_01  ;NA          ;GOINvalu    ;  0.27496707
figu_04_01  ;NA          ;GINKvalu    ; -3.40046916
figu_04_01  ;NA          ;TPROvalu    ; -0.02416048
figu_04_01  ;NA          ;TCOMvalu    ;  2.51388803
figu_04_01  ;NA          ;TIMPvalu    ;  0.00260496
figu_04_01  ;NA          ;GTRAvalu    ; -0.03720983
figu_04_02  ;NA          ;HHINvalu    ; -0.03720983
figu_04_02  ;NA          ;HICAvalu    ; -0.07490859
figu_04_02  ;NA          ;HILAvalu    ; -0.04488917
figu_04_02  ;NA          ;HITRvalu    ;  0.04647801
figu_04_02  ;NA          ;HIDPvalu    ; -0.03720983
figu_04_02  ;NA          ;HCOBvalu    ; -0.03720983
figu_04_02  ;NA          ;HSAVvalu    ; -0.03720983
figu_05_01  ;NA          ;cwadi       ; -3.04496363
figu_05_01  ;NA          ;csaco       ; -0.56241381
figu_05_01  ;NA          ;csanc       ; -0.42579834
figu_05_02  ;NA          ;WADIdito    ; -0.65855643
figu_05_02  ;NA          ;WADIcons    ; -4.01828456
figu_05_02  ;NA          ;SACOcons    ; -0.20483877
figu_05_02  ;NA          ;SANCcons    ; -0.27585552
figu_05_03  ;NA          ;cwadi       ;  6.05771309
figu_05_03  ;NA          ;csaco       ;  0.21928025
figu_05_03  ;NA          ;csanc       ;  0.32212781
figu_05_04  ;NA          ;aelhy       ; -0.53166484
figu_05_04  ;NA          ;aelbi       ; -0.78910123
figu_05_04  ;NA          ;aelpe       ; -0.57926782
figu_05_04  ;NA          ;celec       ; -0.58720096
figu_05_05  ;NA          ;ELECdito    ; -0.66447145
figu_05_05  ;NA          ;ELECcons    ; -0.10618505
figu_05_06  ;NA          ;ELECpric    ;  0.07697773
figu_05_07  ;NA          ;cagri       ; -0.02459530
figu_05_07  ;NA          ;cfood       ; -0.05731987
figu_05_08  ;NA          ;cagri       ; -0.05248989
figu_05_08  ;NA          ;cfood       ; -0.04635381
figu_05_09  ;NA          ;cagri       ; -0.02458032
figu_05_09  ;NA          ;cfood       ; -0.05593846
figu_05_10  ;NA          ;cagri       ; -0.02060898
figu_05_10  ;NA          ;cfood       ;  0.00432362
figu_05_11  ;NA          ;ECOSco2e    ; -0.57926782
figu_05_11  ;NA          ;ECOSco2p    ; -0.06373634
figu_05_11  ;NA          ;ECOSnitr    ; -0.45652015
figu_05_11  ;NA          ;ECOSphos    ; -0.42538841
figu_05_11  ;NA          ;ECOSnagr    ; -0.02459530
figu_06_01  ;NA          ;CONSpwat    ; -4.01828456
figu_06_01  ;NA          ;CONSothe    ; -0.04404047
figu_06_01  ;NA          ;PRICpwat    ;  6.05771309
figu_06_01  ;NA          ;PRICothe    ; -0.00860206
figu_06_01  ;NA          ;INCOhous    ; -0.03720983
figu_06_01  ;NA          ;PRICelec    ;  0.07697773
