s_tabl_figu_id;s_sam_row;s_sam_col;valu
tabl_01_01  ;REU         ;GDPRvalu    ; -0.04143683
tabl_01_01  ;REU         ;PRODvalu    ; -0.06189139
tabl_01_01  ;REU         ;VAADvalu    ; -0.04497356
tabl_01_01  ;REU         ;CONFvalu    ; -0.10838172
tabl_01_01  ;REU         ;INCGvalu    ;  0.18833346
tabl_01_01  ;REU         ;IMPOvalu    ; -0.01012230
tabl_01_01  ;REU         ;EXPOvalu    ; -0.11932041
tabl_01_01  ;REU         ;INVTvalu    ;  0.12341178
tabl_01_01  ;REU         ;UNEMppts    ;  0.05334317
tabl_01_01  ;REU         ;CPINinde    ;  0.02619545
tabl_02_01  ;aagri       ;PRODquan    ; -0.67873753
tabl_02_01  ;afood       ;PRODquan    ; -0.60843646
tabl_02_01  ;aoind       ;PRODquan    ; -0.06055957
tabl_02_01  ;aelhy       ;PRODquan    ; -0.12071636
tabl_02_01  ;aelbi       ;PRODquan    ; -0.17882781
tabl_02_01  ;aelpe       ;PRODquan    ; -0.26546759
tabl_02_01  ;awasa       ;PRODquan    ; -0.60344079
tabl_02_01  ;acons       ;PRODquan    ;  0.07692094
tabl_02_01  ;atran       ;PRODquan    ; -0.05428540
tabl_02_01  ;aadmi       ;PRODquan    ; -0.00353574
tabl_02_01  ;asefi       ;PRODquan    ; -0.01897495
tabl_02_01  ;asenf       ;PRODquan    ; -0.03015854
tabl_02_02  ;cagri       ;CONFquan    ; -0.23056854
tabl_02_02  ;cagri       ;IMPOquan    ;  0.39469794
tabl_02_02  ;cagri       ;EXPOquan    ; -0.73410083
tabl_02_02  ;cfood       ;CONFquan    ; -0.21825683
tabl_02_02  ;cfood       ;IMPOquan    ;  0.09848649
tabl_02_02  ;cfood       ;EXPOquan    ; -0.60461996
tabl_02_02  ;cpetr       ;CONFquan    ; -0.09770897
tabl_02_02  ;cpetr       ;IMPOquan    ; -0.09454139
tabl_02_02  ;coind       ;CONFquan    ; -0.09909783
tabl_02_02  ;coind       ;IMPOquan    ; -0.03378649
tabl_02_02  ;coind       ;EXPOquan    ; -0.03624505
tabl_02_02  ;celec       ;CONFquan    ; -0.09531735
tabl_02_02  ;celec       ;IMPOquan    ; -0.20828855
tabl_02_02  ;cwadi       ;CONFquan    ; -0.44707788
tabl_02_02  ;cwadi       ;IMPOquan    ;  0.61130951
tabl_02_02  ;csaco       ;CONFquan    ; -0.45351125
tabl_02_02  ;csaco       ;IMPOquan    ;  0.64878309
tabl_02_02  ;csanc       ;CONFquan    ; -0.43480479
tabl_02_02  ;csanc       ;IMPOquan    ;  0.53980419
tabl_02_02  ;ccons       ;CONFquan    ; -0.11394907
tabl_02_02  ;ccons       ;EXPOquan    ;  0.01579022
tabl_02_02  ;ctran       ;CONFquan    ; -0.07938548
tabl_02_02  ;ctran       ;IMPOquan    ; -0.10509468
tabl_02_02  ;ctran       ;EXPOquan    ; -0.00415655
tabl_02_02  ;cadmi       ;CONFquan    ; -0.09018496
tabl_02_02  ;cadmi       ;EXPOquan    ; -0.00109269
tabl_02_02  ;csefi       ;CONFquan    ; -0.02905692
tabl_02_02  ;csefi       ;IMPOquan    ; -0.22119027
tabl_02_02  ;csefi       ;EXPOquan    ;  0.08578713
tabl_02_02  ;csenf       ;CONFquan    ; -0.08115209
tabl_02_02  ;csenf       ;IMPOquan    ; -0.09331772
tabl_02_02  ;csenf       ;EXPOquan    ;  0.00156317
tabl_03_01  ;REU         ;CPINppts    ;  0.02619545
tabl_03_01  ;cagri       ;PCONpric    ;  0.38285657
tabl_03_01  ;cfood       ;PCONpric    ;  0.17405244
tabl_03_01  ;coind       ;PCONpric    ;  0.00200185
tabl_03_01  ;celec       ;PCONpric    ; -0.00344702
tabl_03_01  ;cwadi       ;PCONpric    ;  0.50610665
tabl_03_01  ;csaco       ;PCONpric    ;  0.51547428
tabl_03_01  ;csanc       ;PCONpric    ;  0.48824067
tabl_03_01  ;ccons       ;PCONpric    ;  0.02341293
tabl_03_01  ;ctran       ;PCONpric    ; -0.02095729
tabl_03_01  ;cadmi       ;PCONpric    ; -0.00465456
tabl_03_01  ;csefi       ;PCONpric    ; -0.09686246
tabl_03_01  ;csenf       ;PCONpric    ; -0.01829081
tabl_03_02  ;REU         ;WRLApric    ; -0.00044406
tabl_03_02  ;aagri       ;RRCApric    ; -2.11871900
tabl_03_02  ;aagri       ;RRGWpric    ; 52.55962320
tabl_03_02  ;aagri       ;RRSWpric    ; 52.55962320
tabl_03_02  ;afood       ;RRCApric    ; -0.86344642
tabl_03_02  ;afood       ;RRGWpric    ; 53.80668914
tabl_03_02  ;aoind       ;RRCApric    ; -0.11358389
tabl_03_02  ;aoind       ;RRGWpric    ; 60.59514490
tabl_03_02  ;aelhy       ;RRCApric    ; -0.29356999
tabl_03_02  ;aelbi       ;RRCApric    ; -0.36608891
tabl_03_02  ;aelpe       ;RRCApric    ; -0.58148965
tabl_03_02  ;aelpe       ;RRSWpric    ; 57.31916558
tabl_03_02  ;awasa       ;RRCApric    ; -0.74592247
tabl_03_02  ;awasa       ;RRGWpric    ; 55.95996353
tabl_03_02  ;awasa       ;RRSWpric    ; 55.95996353
tabl_03_02  ;acons       ;RRCApric    ;  0.16654767
tabl_03_02  ;atran       ;RRCApric    ; -0.10022153
tabl_03_02  ;aadmi       ;RRCApric    ; -0.00666994
tabl_03_02  ;asefi       ;RRCApric    ; -0.13409341
tabl_03_02  ;asenf       ;RRCApric    ; -0.06500949
tabl_04_01  ;REU         ;GOINvalu    ;  0.18833346
tabl_04_01  ;REU         ;GINKvalu    ; 45.92406824
tabl_04_01  ;REU         ;TPROvalu    ; -0.02897527
tabl_04_01  ;REU         ;TCOMvalu    ;  0.11550776
tabl_04_01  ;REU         ;TIMPvalu    ; -0.00062778
tabl_04_01  ;REU         ;GTRAvalu    ; -0.08221466
tabl_04_02  ;REU         ;HHINvalu    ; -0.08221466
tabl_04_02  ;REU         ;HICAvalu    ; -0.15847358
tabl_04_02  ;REU         ;HILAvalu    ; -0.06712272
tabl_04_02  ;REU         ;HITRvalu    ;  0.02619545
tabl_04_02  ;REU         ;HIDPvalu    ; -0.08221466
tabl_04_02  ;REU         ;HCOBvalu    ; -0.08221466
tabl_04_02  ;REU         ;HSAVvalu    ; -0.08221466
tabl_05_01  ;cwadi       ;WATEprod    ; -0.62974257
tabl_05_01  ;cwadi       ;WATEdito    ; -0.30392754
tabl_05_01  ;cwadi       ;WATEcons    ; -0.44707788
tabl_05_01  ;cwadi       ;WATEpric    ;  0.50610665
tabl_05_01  ;csaco       ;WATEprod    ; -0.54573099
tabl_05_01  ;csaco       ;WATEcons    ; -0.45351125
tabl_05_01  ;csaco       ;WATEpric    ;  0.51547428
