s_tabl_figu_id;s_sam_row;s_sam_col;valu
tabl_01_01  ;REU         ;GDPRvalu    ;  0.00375333
tabl_01_01  ;REU         ;PRODvalu    ; -0.00040983
tabl_01_01  ;REU         ;VAADvalu    ;  0.00447005
tabl_01_01  ;REU         ;CONFvalu    ;  0.00838393
tabl_01_01  ;REU         ;INCGvalu    ; -0.04306374
tabl_01_01  ;REU         ;IMPOvalu    ; -0.00184073
tabl_01_01  ;REU         ;EXPOvalu    ; -0.01907880
tabl_01_01  ;REU         ;INVTvalu    ; -0.04531036
tabl_01_01  ;REU         ;UNEMppts    ; -0.00427418
tabl_01_01  ;REU         ;CPINinde    ; -0.00921531
tabl_02_01  ;aagri       ;PRODquan    ;  0.00288584
tabl_02_01  ;afood       ;PRODquan    ;  0.00524362
tabl_02_01  ;aoind       ;PRODquan    ;  0.01066730
tabl_02_01  ;aelhy       ;PRODquan    ;  0.12563803
tabl_02_01  ;aelbi       ;PRODquan    ;  0.18618107
tabl_02_01  ;aelpe       ;PRODquan    ;  0.13677402
tabl_02_01  ;awasa       ;PRODquan    ;  0.47465660
tabl_02_01  ;acons       ;PRODquan    ; -0.02461274
tabl_02_01  ;atran       ;PRODquan    ;  0.00826595
tabl_02_01  ;aadmi       ;PRODquan    ; -0.00429142
tabl_02_01  ;asefi       ;PRODquan    ;  0.00189053
tabl_02_01  ;asenf       ;PRODquan    ;  0.00579002
tabl_02_02  ;cagri       ;CONFquan    ;  0.00152456
tabl_02_02  ;cagri       ;IMPOquan    ;  0.00201098
tabl_02_02  ;cagri       ;EXPOquan    ;  0.00211074
tabl_02_02  ;cfood       ;CONFquan    ;  0.00329692
tabl_02_02  ;cfood       ;IMPOquan    ;  0.00054789
tabl_02_02  ;cfood       ;EXPOquan    ;  0.00679434
tabl_02_02  ;cpetr       ;CONFquan    ;  0.00206966
tabl_02_02  ;cpetr       ;IMPOquan    ;  0.01145200
tabl_02_02  ;coind       ;CONFquan    ;  0.00315349
tabl_02_02  ;coind       ;IMPOquan    ; -0.00416896
tabl_02_02  ;coind       ;EXPOquan    ;  0.01152710
tabl_02_02  ;celec       ;CONFquan    ;  0.00535652
tabl_02_02  ;celec       ;IMPOquan    ;  0.10948150
tabl_02_02  ;cwadi       ;CONFquan    ;  0.34189401
tabl_02_02  ;cwadi       ;IMPOquan    ; -0.68847366
tabl_02_02  ;csaco       ;CONFquan    ;  0.35031808
tabl_02_02  ;csaco       ;IMPOquan    ; -0.73635543
tabl_02_02  ;csanc       ;CONFquan    ;  0.32729796
tabl_02_02  ;csanc       ;IMPOquan    ; -0.60539265
tabl_02_02  ;ccons       ;CONFquan    ;  0.01158172
tabl_02_02  ;ccons       ;EXPOquan    ;  0.00114123
tabl_02_02  ;ctran       ;CONFquan    ;  0.00390886
tabl_02_02  ;ctran       ;IMPOquan    ;  0.00158053
tabl_02_02  ;ctran       ;EXPOquan    ;  0.00735591
tabl_02_02  ;cadmi       ;CONFquan    ;  0.00405830
tabl_02_02  ;cadmi       ;EXPOquan    ;  0.00499034
tabl_02_02  ;csefi       ;CONFquan    ; -0.00014919
tabl_02_02  ;csefi       ;IMPOquan    ;  0.00904094
tabl_02_02  ;csefi       ;EXPOquan    ; -0.00207887
tabl_02_02  ;csenf       ;CONFquan    ;  0.00268576
tabl_02_02  ;csenf       ;IMPOquan    ;  0.00409889
tabl_02_02  ;csenf       ;EXPOquan    ;  0.00403463
tabl_03_01  ;REU         ;CPINppts    ; -0.00921531
tabl_03_01  ;cagri       ;PCONpric    ; -0.00046930
tabl_03_01  ;cfood       ;PCONpric    ; -0.00176632
tabl_03_01  ;cpetr       ;PCONpric    ;  0.00000000
tabl_03_01  ;coind       ;PCONpric    ; -0.00155989
tabl_03_01  ;celec       ;PCONpric    ; -0.00473044
tabl_03_01  ;cwadi       ;PCONpric    ; -0.48671726
tabl_03_01  ;csaco       ;PCONpric    ; -0.49872256
tabl_03_01  ;csanc       ;PCONpric    ; -0.46590930
tabl_03_01  ;ccons       ;PCONpric    ; -0.01368852
tabl_03_01  ;ctran       ;PCONpric    ; -0.00291491
tabl_03_01  ;cadmi       ;PCONpric    ; -0.00314023
tabl_03_01  ;csefi       ;PCONpric    ;  0.00320385
tabl_03_01  ;csenf       ;PCONpric    ; -0.00107079
tabl_03_02  ;REU         ;WRLApric    ; -0.00707816
tabl_03_02  ;aagri       ;RRCApric    ;  0.00762995
tabl_03_02  ;aagri       ;RRGWpric    ;  0.03203516
tabl_03_02  ;aagri       ;RRSWpric    ;  0.03203516
tabl_03_02  ;afood       ;RRCApric    ;  0.00227090
tabl_03_02  ;afood       ;RRGWpric    ;  0.04560912
tabl_03_02  ;aoind       ;RRCApric    ;  0.01455010
tabl_03_02  ;aoind       ;RRGWpric    ;  0.10102002
tabl_03_02  ;aelhy       ;RRCApric    ;  0.29860540
tabl_03_02  ;aelbi       ;RRCApric    ;  0.37441540
tabl_03_02  ;aelpe       ;RRCApric    ;  0.30973728
tabl_03_02  ;aelpe       ;RRSWpric    ;  1.42837972
tabl_03_02  ;awasa       ;RRCApric    ;  0.49908715
tabl_03_02  ;awasa       ;RRGWpric    ;-44.01437425
tabl_03_02  ;awasa       ;RRSWpric    ;-44.01437425
tabl_03_02  ;acons       ;RRCApric    ; -0.06047101
tabl_03_02  ;atran       ;RRCApric    ;  0.00811833
tabl_03_02  ;aadmi       ;RRCApric    ; -0.01463416
